Question,Expected Article,Retrieved Titles,Precision@5,Recall@5,HitRate@5,ReciprocalRank
गेहूं की बुवाई का सही समय क्या है?,गेंहूँ की समय से बुआई,गेहूं और जौ  | Vikaspedia - Agriculture | गेहूं और जौ | Vikaspedia - Agriculture | गेहूं की उन्नत प्रजातियां | Vikaspedia - Agriculture | गेंहूँ की समय से बुआई | Vikaspedia - Agriculture | राज्य में रबी धान्‍य फसलों हेतु प्रमुख जानकारी | Vikaspedia - Agriculture,0.2000,1.0000,1,0.2500
गेहूं की उन्नत प्रजातियां कौन सी हैं?,गेहूं की उन्नत प्रजातियां,गेहूं के रोगों की पहचान एवं नियंत्रण  | Vikaspedia - Agriculture | गेहूं की उन्नत प्रजातियां | Vikaspedia - Agriculture | गेहूं और जौ  | Vikaspedia - Agriculture | गेंहूँ की समय से बुआई | Vikaspedia - Agriculture | राज्य में रबी धान्‍य फसलों हेतु प्रमुख जानकारी | Vikaspedia - Agriculture,0.2000,1.0000,1,0.5000
धान की खेती कैसे करें?,धान की खेती,धान उत्पादन की उन्नत तकनीकी-मध्यप्रदेश के संदर्भ में  | Vikaspedia - Agriculture | राज्य में खरीफ धान्‍य फसलों हेतु प्रमुख जानकारी | Vikaspedia - Agriculture | धान की किस्में-झारखंड के संदर्भ में | Vikaspedia - Agriculture | झारखण्ड में एस.आर.आई. विधि से धान की खेती  | Vikaspedia - Agriculture | जुलाई माह के कृषि कार्य | Vikaspedia - Agriculture,0.2000,1.0000,1,0.2500
धान की नर्सरी कैसे तैयार करें?,धान की नर्सरी,"व्यावसायिक उत्पादन और नर्सरी प्रबन्धन | Vikaspedia - Agriculture | झारखण्ड में एस.आर.आई. विधि से धान की खेती  | Vikaspedia - Agriculture | सिंचित,संकर धान एवं मूंगफली | Vikaspedia - Agriculture | यंत्रीकृत धान रोपाई से किसानों की आय में इजाफा | Vikaspedia - Agriculture | राज्य में खरीफ धान्‍य फसलों हेतु प्रमुख जानकारी | Vikaspedia - Agriculture",0.0000,0.0000,0,0.0000
धान में खरपतवार नियंत्रण कैसे करें?,धान,धान की फसल में खरपतवार प्रबन्धन | Vikaspedia - Agriculture | खरपतवार नियंत्रण  | Vikaspedia - Agriculture | एस.आर.आई. तकनीक से रोपनी धान की खेती | Vikaspedia - Agriculture | धान की सीधी बुआई कम लागत में अधिक उत्पादन  | Vikaspedia - Agriculture | धान की जैविक खेती से संबंधित कृषि क्रियाएं | Vikaspedia - Agriculture,0.8000,1.0000,1,1.0000
मक्का की खेती कैसे करें?,मक्का,बिहार में मक्का की खेती  | Vikaspedia - Agriculture | शीतकालीन मक्का एवं जाै | Vikaspedia - Agriculture | कृषि - अक्सर पूछे जाने वाले प्रश्न  | Vikaspedia - Agriculture | जुलाई माह के कृषि कार्य | Vikaspedia - Agriculture | खरीफ मक्का की उत्पादन तकनीक | Vikaspedia - Agriculture,0.6000,1.0000,1,1.0000
गन्ने की खेती कैसे करें?,गन्ना,गन्ने की खेती  | Vikaspedia - Agriculture | गन्ना | Vikaspedia - Agriculture | गन्ने के प्रमुख खरपतवार एवं उनकी रोकथाम | Vikaspedia - Agriculture | जनवरी के मुख्य कृषि कार्य | Vikaspedia - Agriculture | शरदकालीन गन्ना | Vikaspedia - Agriculture,0.4000,1.0000,1,0.5000
आलू की खेती कैसे करें?,आलू,आलू की वैज्ञानिक खेती | Vikaspedia - Agriculture | आलू की खेती-सीतापुर के संदर्भ में | Vikaspedia - Agriculture | आलू एवं टमाटर  | Vikaspedia - Agriculture | फसल उत्पादन की उन्नत कृषि प्रणाली | Vikaspedia - Agriculture | आलू के झुलसा रोगों का प्रबंधन | Vikaspedia - Agriculture,0.8000,1.0000,1,1.0000
टमाटर की खेती कैसे करें?,टमाटर,जनवरी माह के कृषि  कार्य | Vikaspedia - Agriculture | टमाटर | Vikaspedia - Agriculture | टमाटर की उन्नत उत्पादन तकनीक | Vikaspedia - Agriculture | टमाटर की वैज्ञानिक खेती | Vikaspedia - Agriculture | सब्जियाें की फसल की देखभाल  | Vikaspedia - Agriculture,0.6000,1.0000,1,0.5000
प्याज की खेती कैसे करें?,प्याज,प्याज  | Vikaspedia - Agriculture | खरीफ प्याज उत्पादन तकनीक | Vikaspedia - Agriculture | सब्जियों की पौधशाला का उचित प्रबंधन | Vikaspedia - Agriculture | झारखण्ड में प्रमुख सब्जियों का बीज उत्पादन | Vikaspedia - Agriculture | प्याज की वैज्ञानिक खेती | Vikaspedia - Agriculture,0.6000,1.0000,1,1.0000
जैविक खेती क्या है?,जैविक खेती,"परम्परागत कृषि विकास योजना (पीकेवीवाई) | Vikaspedia - Agriculture | मिट्टी और पर्यावरण सुरक्षा के साथ-साथ जैविक खेती अधिक उत्पादन भी देती है। | Vikaspedia - Agriculture | जैविक खेती | Vikaspedia - Agriculture | जैविक कृषिः प्रकृति से प्यार, आमदनी अपार | Vikaspedia - Agriculture | झारखण्ड में बागवानी फसलों की जैविक कृषि  | Vikaspedia - Agriculture",0.4000,1.0000,1,0.5000
